id,text,date_time,impression_count,like_count,quote_count,reply_count,retweet_count,name,username,Month
2402179123,"👨‍💻 Este 𝗷𝘂𝗲𝘃𝗲𝘀 𝗮 𝗹𝗮𝘀 𝟭𝟴:𝟯𝟬 𝗲𝗻 @BBK_Kuna  #Masterclass de diseño de producto digital #UXUI con Jose Luis Tienza.

Explicaremos cómo #bbkbootcamps te pueden ayudar a ser un profesional digital gracias a @BBK_eus @TheBridge_Tech 

➡️Apúntate:
https://t.co/yHHKfmgc0t https://t.co/3hWyHylVEb",2023-01-10 10:48:57,283,2,1,0,0,Jorge González Revilla,jorgegrev,2023-01
2402179123,"HOY #masterclass de #UXUI Introducción al diseño de #producto digital con Jose Luis Tienza 

🕐 18:30h. en @BBK_Kuna, Urazurrutia Kalea 3, #Bilbao 

Organiza: #BBKbootcamps by The Bridge
@BBK_eus @TheBridge_Tech 

https://t.co/yHHKfmgc0t",2023-01-12 08:31:28,151,2,0,0,2,Jorge González Revilla,jorgegrev,2023-01
874916978665938945,"🧐 ¿Quieres ser un profesional de la #ciberseguridad, el diseño de productos UX/UI, el Data Science o el desarrollo #FullStack?

Inscríbete al OpenDay de @EDEMempresarios powered by @TheBridge_Tech que se realizará hoy a las 18:00 en sus instalaciones 🤳
https://t.co/Nwl3MnKFmU",2023-01-12 10:20:00,342,4,0,0,1,Startup Valencia,Startup_VLC,2023-01
2529499620,"¿Quieres dedicarte al #desarrolloweb?
¡Conéctate a nuestra sesión informativa y conoce nuestro #bootcamp junto @TheBridge_Tech !

📆17 ene
⏰17h
💻Online

Entrada gratuita 🎟
https://t.co/y2a9xcIrxz

#desarrollowebfullstack #programacionweb #backend #frontend https://t.co/fXjSfpXt1g",2023-01-12 12:54:44,153,1,0,0,2,Formación Fundación Universidad Carlos III,formacion_fuc3,2023-01
2402179123,"Así fue la jornada de diseño de producto digital #uxui ayer en @BBK_Kuna impartida por José Luis Tienza de @TheBridge_Tech 

Si te quedaste con ganas de más aquí tienes nuestro #BBKbootcamp https://t.co/Yoq7FGIH1T https://t.co/W5eHltyp8X",2023-01-13 08:55:42,120,3,0,0,2,Jorge González Revilla,jorgegrev,2023-01
41545659,"Advanced #Cynefin, Estuarine mapping &amp; EUFG Masterclass (Madrid) https://t.co/H5ZSjbKHAr | Los interesados en la aplicación de las ciencias de la complejidad en nuestro país tendremos la oportunidad de aprender de @snowded en persona el 16/3/23 en la sede de @TheBridge_Tech https://t.co/LavCfgYIht",2023-01-15 13:16:23,225761,321,4,7,49,Mario Lopez de Avila,nodosenlared,2023-01
41545659,@snowded @TheBridge_Tech El taller profundizará en el empleo de los Hexi Method Kits https://t.co/DT5pAp89mg por primera vez en España.  Estos kits sirven para consolidar métodos y herramientas multidisciplinares y aplicarlos a problemas del mundo real siempre con un enfoque #AnthroComplexity. https://t.co/UapGlLqoUg,2023-01-15 13:16:24,394,9,0,0,3,Mario Lopez de Avila,nodosenlared,2023-01
41545659,"@snowded @TheBridge_Tech Se trata de un taller avanzado, que cubre los últimos avances en los diferentes marcos desarrollados por @snowded , con especial mención del #Estuarine framework. https://t.co/8EVHVXGYmc , en mi opinión la aportación más importante hecha en 2022 en materia de #AppliedComplexity https://t.co/mUCg9eywvt",2023-01-15 13:16:24,1766,10,0,1,5,Mario Lopez de Avila,nodosenlared,2023-01
163586106,"🎯¿Quieres saber cómo acelerar tu talento digital?
 
¡Entonces no puedes perderte nuestra jornada de puertas abiertas de #Bootcamps que organiza @TheBridge_Tech!

¡Te esperamos!⤵️ 

📍Sede Formación (Calle Isabela, 1)
📅 26 de enero a las 18:00H
📲 https://t.co/LJXSoA2yR4 https://t.co/0mPVb2sQak",2023-01-17 09:27:40,486,2,1,0,0,Escuela de Negocios,ENCamaraSevilla,2023-01
2402179123,"¿Sabes qué es un #𝗳𝘂𝗹𝗹𝘀𝘁𝗮𝗰𝗸 𝗱𝗲𝘃𝗲𝗹𝗼𝗽𝗲𝗿? ¿Te gusta la 𝗽𝗿𝗼𝗴𝗿𝗮𝗺𝗮𝗰𝗶𝗼́𝗻 #𝘄𝗲𝗯? El 𝗱𝗶́𝗮 𝟮𝟲 𝗲𝗻 @BBK_Kuna te invitamos a una #masterclass introductoria con @AlejandroRegex

Organizada por #BBKbootcamps @BBK_eus @TheBridge_Tech https://t.co/k3ghb3Ys92",2023-01-17 12:34:14,124,2,0,0,1,Jorge González Revilla,jorgegrev,2023-01
